"Questions","Answers"
"Where can I find child and youth mental health services?","To find help for a child or youth, you can: Encourage your child to talk to a teacher or school counsellor Talk to your family doctor or pediatrician, or go to a walk-in clinic Contact your local Child & Youth Mental Health office on one of their walk-in days Use Kelty Mental Health's Help Finder Tool to find"
"Where can older adults find help for mental health concerns?","Mental health concerns are a serious concern at any age, and everyone deserves help and support. If you?b??l??bre concerned about your mental health, you can: Talk to your family doctor or go to a walk-in clinic Call the Mental Health Support Line at 310-6789 (no area code) for information about services in your area Find your local mental health centre or program at www.gov.bc.ca/mentalhealth (you may need a doctor?b??l??bs referral to access some programs) Find your local Canadian Mental Health Association branch at www.cmha.bc.ca and ask for information about local services Contact a local senior?b??l??bs support organization or group and ask for advice. You can search for organizations at www.bc211.ca For general information about senior?b??l??bs mental health: Find resources from the Canadian Coalition for Seniors' Mental Health at www.ccsmh.ca Find info sheets in the Seniors and Depression Series at www.heretohelp.bc.ca/factsheet/seniors-and-depression-series If you are concerned about a loved one: Be honest about your concerns, like changes you?b??l??bve noticed or problems that have come up Give your loved one a chance to talk about their perspectives. They may have a different take on the problem or have different priorities in th"
"Where can I find self-help materials for depression?","Self-help resources are not a substitute for diagnosis or treatment. If you have concerns about low mood, it?b??l??bs best to talk to your doctor first and rule out physical causes for your symptoms. However, once you?b??l??bve checked in with your doctor, self-help materials can be a great way to learn more about depression and practice different skills at your own pace or in between treatment sessions. Here are some resources to check out. The Antidepressant Skills Workbook was created by two BC psychologists. You?b??l??bll learn more about depression, learn and practice different skills to help improve your mood, and learn how healthy changes in other parts of your life can impact your mood. They also have similar workbooks for specific groups: Dealing With Depression: Antidepressant Skills for Teens A workbook for people who experience problems with depression at work called Antidepressant Skills at Work: Dealing with Mood Problems in the Workplace A workbook for expecting or new moms called Managing Depression: A Self-help Skills Resource for Women Living With Depression During Pregnancy, After Delivery and Beyond A workbook for people who experience health problems called Positive Coping with Health Conditions: A Self-Care Workbook On the HeretoHelp site, our Managing Depression series offers three info sheets: Dealing with a Diagnosis of Depression, Working With Your Doctor for Depression, and Preventing Relapse of Depression. The series helps you be an active partner in your health care, build healthy coping skills and self-management strategies, and more. Often depression can affect your concentration and motivation to work through self-help materials on your own. If you?b??l??bd like self-help materials with a bit of extra support from a person, Bounce Back: Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate depression, low mood, stress, or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of depression, or you can learn more in-depth skills in a series of workbooks you complete at home. You also work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctor?b??l??bs referral. For more information, visit www.bouncebackbc.ca (If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca). The Mood Disorders Association of BC has a number of videos on mental health, seeking help, and other topics Kelty Mental Health Resource Centre also maintains a comprehensive list of websites, toolkits, books and other resources for young people and families Heads Up Guys offer tips and strategies for healthy living"
"Where can I find self-help materials for anxiety?","Self-help resources are not a substitute for diagnosis or treatment. If you have concerns about low mood, it?b??l??bs best to talk to your doctor first and rule out physical causes for your symptoms. However, once you?b??l??bve checked in with your doctor, self-help materials can be a great way to learn more about anxiety and practice different skills at your own pace or in between treatment sessions. Here are some resources to check out: Anxiety Canada has self-help resources, toolkits, worksheets, and videos on anxiety and anxiety disorders for children and their parents, teens, adults, expecting and new moms at www.anxietycanada.com. Their MindShift app teaches skills to help users manage anxiety, relax, and live well. Although designed for teens and young adults, other adults can also benefit from it. Kelty Mental Health Resource Centre has a list of recommended websites, toolkits, books, and other resources for children and for teens. The BC Reproductive Mental Health Program of BC Mental Health and Substance Use Services has a self-management guide for women who experience anxiety during and after birth called Coping With Anxiety During Pregnancy and Following the Birth. Moodjuice is a UK program that offers self-help and information on a number of mental health concerns, including their anxiety self-help guide. If you'd like help for a specific anxiety disorder, visit www.moodjuice.scot.nhs.uk to search for other guides. There are many books and workbooks available to help people who experience anxiety problems. Talk to your mental health. Talk to your mental health care team for recommendations. There are bookstores that specialize in mental health and well-being materials, such as Odin Books in Vancouver. Within British Columbia, you may also borrow books for free from the Family Support and Resource Centre at BC Children's and Womenâ?E?E??E"
"I'm having a hard time coping with a physical health problem. Where can I find help?","Physical health can have a big impact on mental health! Here are some resources to help you cope with the emotional challenges of living with a chronic health problem: Self-Management BC offers free programs for adults of all ages who are experiencing any ongoing physical or mental health issues. Find information and strategies to help manage symptoms and take action toward the best life possible. Family members, friends, and loved ones are welcome to attend. Programs are available in languages other than English, including Chinese and Punjabi. On their website, you learn more about self-management research and find a workshop or telephone-based support program. Visit www.selfmanagementbc.ca or call toll-free 1-866-902-3767. A group of BC psychologists and doctors have created a self-guided workbook called Positive Coping with Health Conditions for anyone who is dealing with a health problem and anyone who supports a loved one that experiences a health problem. The workbook discusses the links between physical health and mental health, and teaches you different skills to help you manage problems and difficult feelings well, get active, and work on healthy relationships. Bounce Back: Reclaim Your Health is a guided self-help program for British Columbians who experience mild to moderate depression, low mood or anxiety. You can get a DVD of tips to help you recognize and manage symptoms of depression, or you can learn more in-depth skills in a series of workbook you complete at home. One of the workbooks, Reclaim Your Health, is focused on living with chronic health conditions. You work with a trained coach from the Canadian Mental Health Association who will offer support and advice by telephone or video conference. Bounce Back is free with a doctor?b??l??bs referral. For more information, visit www.bouncebackbc.ca. If you want to access the Bounce Back materials without a coach or referral, you can do that online in BC at www.bouncebackonline.ca. Reclaim Your Life: From illness, disability, pain, or fatigue is a booklet from the Canadian Mental Health Association that offers practical tips and strategies to help you cope with a problem and get back to your usual routine. The booklet is available for purchase at www.livinglifetothefull.ca. It is part of a program called Living Life to the Full, an eight-week program that helps people make helpful changes in their lives. It?b??l??bs offered throughout the province, and you can find course listings on the website as well. Many organizations support people who experience a particular illness or health problem. These organizations can often help people find appropriate support services or may even offer support groups of their own. You can also ask your health care team for recommendations. If you can?b?E?E??E?E?t find support in person, you can see if there are any support groups online. If you're having a h"
"When is substance use a problem? Where can I go for help?","Each person has a different relationship with substances like alcohol and other drugs, and people use substances for different reasons. What's beneficial for some may cause problems for others, or for the same person in different situations. To learn more about substance use, check out Under"
"Where can I find free or low-cost counselling?","Mental health services like counselling or therapy may be covered by your BC Medical Services Plan (MSP) when you access the service through a hospital or mental health clinic. Find your local health authority to learn more about counselling services in your area. HealthLink BC's Find Services tool and Locator app can also help you find services. You often need a doctor's referral to access these types of programs. Without a doctor's referral, you need to access care through the private system, which is not funded by the government. Private mental health services can be expensive. This can be a real barrier to finding good care. While there is no simple answer, there are several different places you can look: If you have health benefits at work, ask about your coverage. Some plans will cover a certain number of private counselling or therapy sessions. In addition, a workplace Employee/Family Assistance Plan may offer some services or may refer you to community services. Some psychologists, clinical counsellors, or other service providers may offer a sliding scale, which means that their costs are based on your income. Try contacting servi"
"Can I get help paying for prescription medications?","BC PharmaCare covers the cost of some medications through Plan G, the Psychiatric Medications Plan, for people who need a medication to be well but cannot afford them. Your doctor or nurse practitioner must apply for your coverage on your behalf. Coverage usually lasts for one year, and then you can reapply if needed. Talk to your care team if you're interested in Plan G."
"How can I pay for mental health care?","Mental health services provided through the government-run (â?E?E?ˁEEEEpublic') system, like services you receive through your local mental health centre or team, an outpatient psychiatry at a hospital are most often completely covered by MSP. As long as you are eligible for MSP, you won't have to pay to see someone. For mental health services that aren't covered by MSP, such as psychotherapy or counselling with a private practitioner, you will have to cover the costs yourself. It's no secret that these services can be expensive, but you may be able to offset the costs through: Extended health coverage from your own or an immediate family member's workplace benefits Employee (Family) Assistance Program from your own or an immediate family memberâ"
"How do I apply for income assistance?","Provincial income assistance has three income levels: basic assistance (also called welfare), Persons with Disabilities benefits (PWD), and the Persons with Persistent and Multiple Barriers to employment benefits (PPMB). All are administered by the Ministry of Social Development and Social Inclusion. Depending on the situation, mental illness may considered under PWD or PPMB. Addictions may not be included in PPMB applications. PWD benefits are for people who have a disability that prevents them from working or going about their daily activities. Find information from the Ministry and read a fact sheet from the Disability Alliance of BC with information about the application process. PPMB benefits are for people who experience multiple barriers to work. Find information from the Ministry and read a fact sheet from the Disability Alliance of BC with information about the application process. The Disability Alliance of BC (formerly the BC Coalition of People with Disabilities) and help you navigate PWD and PPMB programs as well as Canada Pension Plan benefits. They have in-depth information on preparing your application, working through the application process, and handling appeals. PovNet can also connect you with an advocate to help you through the application process. For more on provincial PWD benefits and advocacy tips, see Getting By on Social Assistance: Navigating the â?E?E?ˁEEEEwelfare' system or read other articles in our Income issue of Visions Journal."
"What is MSP?","MSP stands for Medical Services Plan. It's a health insurance program managed by the government for people who live in British Columbia, Canada. MSP pays for things like doctor's appointments, appointments with specialist doctors like psychiatrists, and hospital stays you need to treat a medical problem. Everyone who lives in BC must enroll in MSP. You pay a monthly fee based on your income. Some workplaces cover the costs of MSP fees for you. Learn more about MSP here. If you have questions about applying for or managing your MSP coverage, call Health Insurance BC at 604 683-7151 in the Lower Mainland or 1-800-663-7100 in the rest of BC. They are open Monday â?E?E??E??E Friday from 8.00am â?E?E??E??E 4.30pm. You can also get help in person at your local Service BC office. If you are new to BC, you have to wait three months before registering for MSP. Bring your Care Card or BC Services Card with you when you go to medical appointments or use the pharmacy."
"What is a referral?","A referral means someone recommends you to another service. In health care, it usually means a request from your doctor to see a specialist like a psychiatrist. To access any specialist in BC, you first need a referral. You may need to meet certain criteria, like a specific diagnosis or specific symptoms, to access some specialists. Your doctor can tell you what to expect. Once your doctor has made the referral, the specialist's office will contact you with an appointment time. Make sure your doctor's office has your current contact information so the specialist can reach you. The process is the same whether you see the same family doctor or visit a walk-in clinic. Not all mental health programs in BC require a doctor's referral. This is good news for people who are looking for help! A ""l"" means that you ask to see someone, and then you will be evaluated to see if you meet the criteria to receive services. Contact your local health authority to learn more about programs in your area:aas well as"
"What's the difference between a psychiatrist and a registered psychologist?","A psychiatrist is a medical doctor with extra training in mental health who can choose to prescribe medications. Some use psychotherapy (?b??l??talk therapies?b??l??b) approaches like cognitive-behavioural therapy to treat mental health problems. Many psychiatrists work at hospitals, clinics, or health centres, and some have a private office. As they are specialist doctors, you will almost always need another doctor?b??l??bs referral to see a psychiatrist, and fees are covered by MSP. If you have a valid BC Services or CareCard, you do not need to pay to see a psychiatrist. A registered psychologist focuses on different talk therapy or counselling approaches to treatments, but they don?b??l??bt prescribe medication. They have graduate degrees in psychology. There are two different ways to access registered psychologists: the public system and the private system. Registered psychologists in the public system work in some hospitals or schools. You may need a doctor?b??l??bs referral to access the program, and costs are usually covered by MSP. However, most people need to access registered psychologists through the private system. To do this, you can contact the psychologist yourselfâ?E?E??E??Eyou do not need a referral. Costs are not covered by MSP, but they may be covered by employee health plans. A registered psychologist's fees charged by hour vary, and some offer lower fees to people with lower incomes. You've probably noticed that a lot of the differences come down to how you pay for different services and how these professionals are educated. The practical differences in how they work are not always so clear. When it comes to your treatment and care, the most important part is finding a professional who supports your own goals. Are you really focused on fine-tuning medications? Are you looking for a particular therapy approach? Does the professional's philosophy of care make sense to you? Do you like the professional you're talking to and do you feel safe sharing your experiences? Ultimately, your relationship with the professional is what matters. Instead of focusing on desig"
"What's the difference between psychotherapy and counselling?","Psychotherapy and counselling have a lot in common and usually mean the same thing. Both are used to describe professionals who use talk-based approaches to help someone recover from a mental illness or mental health problem. Many different professionals may provide counselling or psychotherapy, including registered psychologists, registered clinical counsellors, psychiatrists, other therapists and counsellors, family doctors, psychiatric nurses, and faith leaders. It?b??l??bs useful to talk to someone about any problem?b??l???a lot of people find that simply talking with friends or family can help them feel better. A professional therapist or counsellor can offer more: they have training, experience, and emotional distance (since they don?b??l??bt know you). They use different theories to listen to you, support you, and approach different problems or patterns. For example, a psychotherapy called cognitive-behavioural therapy is based on the theory that learning skills to change your thinking and actions can positively impact your emotions, well-being, and future thoughts and behaviours. A therapist could help you learn and practice these skills. There are many psychotherapies with good evidence of being effective for different problems or illnesses. A few examples include cognitive-behavioural therapy, interpersonal therapy, dialectical behaviour therapy, solutions-focused brief psychotherapy, narrative therapy, and emotion-focused therapy. In general, some aspects of therapy and counselling are the same, no matter which approach you choose: the expectations you bring to your counselling sessions, the match between your understanding of the problems and your therapist's understanding of the problem, and the trust and rapport that you have with your therapist. In fa"
"What's the difference between CBT and DBT?","CBT (cognitive-behavioural therapy) and DBT (dialectical behaviour therapy) are two forms of psychotherapy or ?b??l??talk therapy.?b??l??? In both, you work with a mental health professional to learn more about the challenges you experience and learn skills to help you manage challenges on your own. Cognitive-behavioural therapy or CBT teaches you how your thoughts, feelings, and behaviours influence each other. For example, if you believe that people don?b??l??bt like you (thought), you might avoid social situations (behaviour) and feel lonely (feeling). However, CBT teaches you how to use these relationships to your advantage: a positive change in one factor (changing a thought or behaviour) can lead to positive changes in all factors. CBT is an approach that has been proven by research to work for many different mental health problems, including depression, anxiety disorders, eating disorders and substance use problems. CBT is structured, short-term, goal-oriented and focused on the present. It starts with education around the particular mental illness or challenge and how the illness or challenge affects you. Next, you'll learn and practice skills and strategies like problem-solving or realistic thinking to help you make changes in your thoughts, feelings, and behaviours. You'll learn how you can use your new skills to deal with problems in the future. Dialectical behaviour therapy or DBT is based on CBT, with greater focus on emotional and social aspects. DBT was developed to help people cope with extreme or unstable emotions and harmful behaviours. DBT is an evidence-based approach to help people regulate emotions. It started as a treatment for borderline personality disorder, and current research shows it may help with many different mental illnesses or concerns, particularly self-harm. Key differences between CBT and DBT are valida"
"What's the difference between antidepressants?","There are many different types of antidepressant medications, and they each work in different ways. Antidepressants are divided into ?b??l??classes?b??l??? based on what they do and which chemical messengers in the brain (called neurotransmitters) they are thought to influence. Each class may contain several different medications, which each have slightly different ways of working. Below, you?b??l??bll find common classes and examples of common medications. The first name is the generic name and name in brackets is the brand name. SSRIs or selective serotonin reuptake inhibitors: fluoxetine (Prozac), paroxetine (Paxil), citalopram (Celexa), escitalopram (Cipralex), and sertraline (Zoloft) SNRIs or serotonin and norepinephrine reuptake inhibitors: venlafaxine (Effexor) and duloxetine (Cymbalta) NDRIs or norepinephrine-dopamine reuptake inhibitors: bupropion (Wellbutrin and Zyban) NaSSAs or noradrenergic and specific serotonergic antidepressants: mirtazapine (Remeron), which can also be classed as a TeCa or tetracyclic antidepressant SARIs or serotonin antagonist and reuptake inhibitors: trazodone (Desyrel) There are other classes of antidepressants (such as MAOIs or triclycics) that are much older and have more side effects or restrictions. They are usually prescribed when newer antidepressants don't work. Other medications such as lithium, thyroid medication, or antipsychotics may also be prescribed, often in combination with an antidepressant to boost its effect. Antidepressants are not only used to treat depressionâ?E?E??E??E"
"I received a diagnosis but I don't think it's right. What can I do?","If possible, bring up your concerns with the professional who provided the diagnosis. That way, the professional can answer your questions and you can better understand their decision. If that doesn't resolve the situation or a follow-up appointment isn't pos"
"I was prescribed an antidepressant or other psychiatric medication but I don't think it's working. What can I do?","If you?b??l??bre concerned about your medications, it?b??l??bs important to talk with the doctor or psychiatrist who prescribed your medications. While it can take a few weeks to really see improvements with many antidepressants, it?b??l??bs still a good idea to talk to your doctor about what to expect. Talk to the doctor that prescribed your medication if you experience symptoms or side effects that are distressing you. If you want to talk to a trusted professional about the most common side effects, call your pharmacist. You can reach a pharmacist by phone after-hours by calling 811. It?b??l??bs also best not to stop taking the medication or changing the dose on your own without first talking to a health care provider. While it might be tempting to stop taking your medication when you start feel better, it?b??l??bs important to follow your doctor?b??l??bs instructions. In some cases, people can have an allergic reaction to a medication. Some reactions are not serious, like a rash. In these cases, you can call the pharmacist or call 811 to reach help after-hours. If you have a serious reaction like difficult breathing, dizziness, or confusion, call 911 right away. When you start a new medication, your pharmacist will give you a printout with information like side effects, signs of an allergic reaction, how long it might take to work, and other information. It's good information to keep on hand, but it isn't always easy to read. When you pick up your medication, you can ask the pharmacist to go over the information with you so you understand what you should look for. If a particular antidepressant or psychiatric medication just isn't working for you, there are many different options! Unfortunately,"
"An adult in my life seems ill and won't find help. What can I do?","It?b??l??bs difficult when an adult child, sibling, parent, friend, co-worker, or other important person is struggling or behaving in ways that are causing harm. This can be a tricky situation?b??l???you want to help, but most adults are responsible for their own care. There are two important points to think about. First, diagnosing a health condition, especially when symptom-checking is so easy online, can be dangerous. Diagnosis is still always best left to professionals who can look at the whole picture. Remember, too, that the person you care about may have a very different idea of what?b??l??bs causing their difficulties and what the negative impacts are on their life. Second, except in rare cases, the person being treated needs to be an active player in their own recovery to continue with their treatment, just as they would for any other health problem. If the vast majority of cases, you cannot do this work entirely for them?b??l???and trying to do so may damage your relationship. Be honest about your concerns, the impacts you"
"I'm worried about my child or teenager. Where can I find help?","It can be hard to figure out what to do if you?b??l??bre concerned about a young person in your family. Many people start by talking with their family doctor. If you don?b??l??bt have a family doctor, you can find a doctor through the College of Physicians and Surgeons of BC. You can also visit a walk-in clinic. Depending on the situation, your family doctor may offer everything you need. If your child needs more specialized services, such as psychiatry services, your family doctor needs to make a referral for your child. Many family doctors can also recommend community services or supports in your community. Learn more about the role of family doctors in the info sheet What to Expect from Your Family or Walk-In Clinic Doctor. If your child?b??l??bs difficulties affect their performance or behaviour at school, the school may be involved. If your child?b??l??bs school has a counsellor, talk to them about services you can access through the school. School counsellors can also suggest community services. See the info sheet What to Expect from Your Child's School. Kelty Mental Health Resour"
"Someone I care about has a brain injury. Where can I find more information?","A brain injury itself isn't the same as a mental illness, though someone who experiences a brain injury may also experience mental health problems. These mental health problems may stem from the injury itself or from thoughts around the injury (like feelings of loss, anger, or frustration when quality of life changes). In some cases, mental health challenges may not be related to a brain injury at all. The good news is that mental health problems are treatable, even if you or someone you care about has experienced a brain injury. It may be helpful to find a service provider who is familiar with both brain injuries and mental health. For more information and support, visit the BC Brain Injury Association. You can also find local and regional groups and organizations in BC through the Brain Injury Association of Canada."
"Someone I love has been diagnosed with depression. How can I help?","We naturally want to help a loved one who isn?b??l??bt feeling well. How we can or should help may seem fairly obvious when a loved one experiences a physical health problem, but many people say they?b??l??bre not sure how to best help when a loved one experiences a mental illness like depression. Here are some tips: You don?b??l??bt have to understand exactly what someone else is experiencing, you just need to recognize that it?b??l??bs a difficult experience. You can try something like, ?b??l??I can see that this experience or these symptoms are really painful for you,?b??l??? or, ?b??l??I?b??l??bm sorry to hear that you?b??l??bre feeling unwell.?b??l??? If you have experienced depression yourself, you might say, ?b??l??I know how you feel.?b??l??? Just remember that everyone experiences illnesses like depression differently, and empathy is about recognizing the impact of the illness, not comparing symptoms. You don?b??l??bt have to be an expert, but learning more about depression can help you understand what?b??l??bs going on (and maybe dispel some of the unhelpful myths around depression). Our Depression info sheet is a great place to start, and we have a list of resources at Q&A: Where can I learn more about depression? Sometimes talking about problems or concerns can really help?b??l???in fact, many people who experience a mood disorder say that they just want to be heard. It?b??l??bs important to understand that talking about something difficult like experiences of depression can be very hard for your loved one. You cannot force them to talk about it, but you can invite them to, and create safe and quiet spaces to talk. If a loved one opens up to you, listen actively?b??l???that is, without distractions like your phone or the TV. Really pay attention to what they have to say. Listen with empathy and without judgement. Even if you don?b??l??bt understand the problem or see the problem in a different way, your main concern is the distress or difficult feelings your loved one is experiencing. You can find in-depth tips on listening and communicating well in Module Three of the Family Toolkit. Some people are not ready to talk about everything at once, or at all. That?b??l??bs okay! Respect your loved one?b??l??bs boundaries and let them tell you what they?b??l??bre ready to talk about. Even when you have the best intentions, unsolicited advice can be unhelpful. You likely can"
"Someone I love has been diagnosed with schizophrenia. How can I help?","We naturally want to help a loved one who isn?b??l??bt feeling well. How we can or should help may seem fairly obvious when a loved one experiences a physical health problem, but many people say they?b??l??bre not sure how to best help when a loved one experiences a mental illness like schizophrenia. Here are some tips: You don?b??l??bt have to be an expert in schizophrenia, but learning more can help you understand what?b??l??bs going on. There are a lot of myths about schizophrenia, so it?b??l??bs a good idea to find some trustworthy resources. Our Schizophrenia info sheet is a great place to start. You can also find a lot of information from the BC Schizophrenia Society. Sometimes talking about problems or concerns can really help. It?b??l??bs important to understand that talking about something difficult like experiences of schizophrenia can be very hard for your loved one?b??l???and the symptoms of schizophrenia can also make conversations difficult. If a loved one opens up to you, listen actively?b??l???that is, without distractions like your phone or the TV. Really pay attention to what they have to say. Give them time to finish their thoughts, even if it takes a bit longer than usual. Listen with empathy and without judgement. Even if you don?b??l??bt understand the problem or you see the problem in a different way, your main concern is the distress or difficult feelings your loved one is experiencing. You can find in-depth tips on listening and communicating well in Module Three of the Family Toolkit. Some people are not ready to talk about everything at once, or at all. That?b??l??bs okay! Respect your loved one?b??l??bs boundaries and let them tell you when they?b??l??bre ready to talk. Symptoms of schizophrenia like hallucinations (sensations that aren?b??l??bt real, like hearing voices) or delusions (beliefs that can?b??l??bt be true, like believing that you are being followed by a spy) can take some time to stop even when people are receiving treatment and following their treatment plan. As a group, these very distressing symptoms are called psychosis. Many people have a hard time responding to a loved one?b??l??bs hallucinations or delusions. It?b??l??bs best to avoid arguing about these experiences. Remember that delusion are symptoms of schizophrenia?b??l???they are not thoughts that you can talk someone out of. Telling someone that their experiences aren?b??l??bt real or aren?b??l??bt true doesn?b??l??bt help when the experiences feel very real to that person! A better approach is to empathize with the feelings that hallucinations or delusions bring up?b??l???without confirming or denying the hallucination or delusion. For example, if a loved one is frustrated or upset when they hear voices, it isn?b??l??bt helpful to say something like, ?b??l??You?b??l??bre okay! It isn?b??l??bt real. I don?b??l??bt hear anything.?b??l??? Instead, you might say, ?b??l??I can only image how upsetting that voice must be. I can see the voice makes you feel scared.?b??l??? Know that with good treatment and support, symptoms like hallucinations and delusions become much easier for people to manage and lose importance. Ask how you can help. When people experience a serious mental illness like schizophrenia, they may want to plan how they can take action if they start to feel unwell again, especially if they have dependent children. These plans, such as advanced directives or Ulysses Agreements, are made when a person feels well and are meant to communicate their wishes to loved ones and their care team. Ask your loved one if they have a plan in place so you know what they need if they need help. If you?b??l??bd like to learn more about planning for care, see the BC Schizophrenia Society. If a loved one is experiencing an episode of psychosis or is recovering for an episode of psychosis, they might need extra help. For example, people who are actively experiencing hallucinations or delusions might need a lot of personal space and feel uncomfortable being around a lot of people or even making eye contact. When people are recovering from an episode of psychosis, they may need a quiet space and a lot of rest. Sometimes people can get back into their usual routines fairly quickly, while other times it may take a lot of time (and effort) to get back into routines. Keep in mind that too much help can be a bit counterproductive. It may well be faster and easier for you to take care of your loved one?b??l??bs tasks or chores yourself, but rebuilding activity and confidence are a big part of recovery. Encourage and support your loved one as they take on daily responsibilities, and let them tell you when they need extra help. Schizophrenia can be a difficult illnessâ?E?E??E??Efor everyone. During episodes of psychosis, your loved one may experience frightening sensations that you can't understand. They may act in ways that you don't understand. Other symptoms of schizophrenia can make it hard for people to express emotions or feelings, communicate clearly, or seem interested in others. It's important to know that these are symptoms of an illness. They are no one's fault, but they can still be hard to cope with. Consider reaching out to a family and friends support group for your own support. The BC Schi"
"I'm a young person and one of my parents has a mental illness. What can I do?","Someone else?b??l??bs illness is not your fault. You also can?b??l??bt control how someone else feels, their illness, or the things they do or say. What you can do is take care of yourself. Learning more about your parent?b??l??bs illness can make it a bit easier to understand what they experience. On this website, you can find easy-to-read booklets on mental illnesses as well as longer info sheets on many different mental illnesses. You can also find information for young people from the Centre for Addiction and Mental Health. It?b??l??bs important to take care of yourself, too! A lot of people have a big mix of feelings when a parent isn?b??l??bt well. You might feel angry, embarrassed, scared, or many other things. These feelings and experiences can have a big impact on the way your think about yourself and other people. When you?b??l??bre on an airplane and the flight attendants go through the safety demonstration, they tell you to put your own oxygen mask on before your help other people. That?b??l??bs because it's hard to help someone else if you aren't well yourself. Here are some programs specifically for young people: Kids in Control Support Group Program from the BC Schizophrenia Society helps children and youth ages 8-18 understand mental illnesses, cope with challenges, and take care of their own health and well-being. If Kids in Control is not c"
"I have thoughts of suicide, or someone I care about is talking about suicide. What should I do?","If you need to talk to someone or you aren't sure how to help someone you care about, call 1-800-SUICIDE (1-800-784-2433) at any time. Or type your concern using live chat (like texting online) at www.crisiscentrechat.ca between noon and 1am. They can help you, and they can suggest good local resources. If you're at risk of harm or think someone else is in danger and you ne"
"Cannabis is legally allowed to 19+ but there are doctor groups saying it's potentially harmful to age 25. Any use or certain use? What's myth and what's fact? If I'm a parent, what should I tell my young adult?","Using cannabis has the potential for benefits and harms. Young people use cannabis, like other psychoactive drugs, to feel good, to feel better, to do better or to explore. Trying cannabis out of curiosity, as an experiment, or while socializing with friends, is related to moderate use and lower potential for harm. Using cannabis to cope with daily life, deal with unpleasant feelings, or fit in with a social group has higher potential for harm. This is because dealing with these kinds of issues is associated with frequent and heavier use, less thought about potential harms and little consideration of alternatives for coping such as talking with a parent or trusted adult or physical activity with friends. Evidence suggests that the younger a person is when they start using cannabis and the more often they use, the greater the potential for harms. The legal age to use cannabis in BC is 19. However, our brains do not finish developing until about age 25. Delaying cannabis use until early adulthood may reduce potential harmful effects on the brain. Some young people, especially those with many factors predisposing them to serious and persistent mental health issues, should probably not use cannabis. Cannabis has been associated with an increased risk for psychosis and schizophrenia in this small group of people. Some people with serious mental health issues have also reported that using cannabis has helped them cope with their illness by helping them feel less anxious or stressed. As in most situations, balancing potential benefits and harms of using cannabis will be key for young people who have serious mental health concerns. Mixing drugs, such as cannabis and alcohol, can also increase the possibility of experiencing harms. Intoxication may be more intense and long lasting and the young person may not appreciate how impaired they are. We often suggest, â?E?E?ŁEEEENot too much, not too often, and only in a safe context'E as a simple way to gauge your use of any psychoactive substance. As a parent or caring adult, an open respectful relationship with a young person is one of your best resources and ways to prevent harms from substance use. Letting the youth know they can approach you at any t"
"What's the difference between mental health and mental illness?","?b??l??Mental health?b??l??b and ?b??l??mental illness?b??l??b are increasingly being used as if they mean the same thing, but they do not. Everyone has mental health, just like everyone has health. As the World Health Organization famously says, ?b??l??There is no health without mental health.?b??l??? In the course of a lifetime, not all people will experience a mental illness, but everyone will struggle or have a challenge with their mental well-being (i.e., their mental health) just like we all have challenges with our physical well-being from time to time. When we talk about mental health, we?b??l??bre talking about our mental well-being: our emotions, our thoughts and feelings, our ability to solve problems and overcome difficulties, our social connections, and our understanding of the world around us. A mental illness is an illness the affects that way people think, feel, behave, or interact with others. There are many different mental illnesses, and they have different symptoms that impact peoples?b??l??b lives in different ways. Health isn?b??l??bt like an on/off switch. There are different degrees of health. People move on a continuum ranging from great or good health to so-so health to poor health to illness or disability. For example, some people have good health and have no problems going about their lives. Some people experience serious health problems, and their poor health has a very negative impact on their life. Some people have serious health problems that last for a long time, and others have serious health problems that resolve very quickly. Many people fall somewhere in the middle?b??l???they?b??l??bre generally in good health, though the occasional problem may come up. Mental health is the same way. Just as someone who feels unwell may not have a serious illness, people may have poor mental health without a mental illness. We all have days where we feel a bit down, or stressed out, or overwhelmed by something that?b??l??bs happening in our lives. An important part of good mental health is the ability to look at problems or concerns realistically. Good mental health isn't about feeling happy and confident 100% of time and ignoring any problems. It's about living and coping well despite problems. Just as it's possible to have poor mental health but no mental illness, it's entirely possible to have good mental health even with a diagnosis of a mental illness. That's because mental illnesses (like other health problems) are often episodic, meaning there are times (â?E?E?ˁEEEEepisodes') of ill health and times of better or good health. With the right supports and tools, anyone can live wellâ?E?E??E??Ehowever they define wellâ?E?E??E??Eand find meaning, contribute to their communities, and work towards their goals."
"Where can I find more information about depression?","Our info sheets on mood disorders, bipolar disorder, and depression offer information on mood problems, treatment options, and resources in BC. We also offer What is Depression? It's a booklet with audio in plain language for lower literacy readers. You can take a screening self-test for depression (and other mental health concerns). The adult depression tool also screens for signs of bipolar disorder. If you want to go beyond the basics, our Managing Depression series can help you deal with a diagnosis of depression, work with doctor, and prevent relapse of depression. You'll also find many experiences and perspectives around depressionâ?E?E??E??Ereading personal stories can help you feel less alone."
